#Resolution = MIN
#Settling time = 0.7s
datetime, level, level (hex),  voltage
2023-10-11 14:30:21.219244,8448,2100,7.837285e-02
2023-10-11 14:30:25.979910,23808,5d00,2.208663e-01
2023-10-11 14:30:30.771200,35584,8b00,3.301190e-01
2023-10-11 14:30:35.539394,19712,4d00,1.828768e-01
2023-10-11 14:30:40.295242,17408,4400,1.615012e-01
2023-10-11 14:30:45.047958,48640,be00,4.512149e-01
2023-10-11 14:30:49.807246,9216,2400,8.549616e-02
2023-10-11 14:30:54.583199,37376,9200,3.467520e-01
2023-10-11 14:30:59.453238,19456,4c00,1.804964e-01
2023-10-11 14:31:04.247351,3840,f00,3.562531e-02
2023-10-11 14:31:09.026125,47360,b900,4.393419e-01
2023-10-11 14:31:13.783358,58368,e400,5.414364e-01
2023-10-11 14:31:18.555243,18432,4800,1.710007e-01
2023-10-11 14:31:23.323245,51200,c800,4.749626e-01
2023-10-11 14:31:28.095234,58624,e500,5.438229e-01
2023-10-11 14:31:32.855290,512,200,4.757267e-03
2023-10-11 14:31:37.623240,24320,5f00,2.256173e-01
2023-10-11 14:31:42.397098,56576,dd00,5.248288e-01
2023-10-11 14:31:47.274290,53760,d200,4.986945e-01
2023-10-11 14:31:52.039359,30720,7800,2.849991e-01
2023-10-11 14:31:56.803311,37632,9300,3.491167e-01
2023-10-11 14:32:01.575210,39936,9c00,3.704852e-01
2023-10-11 14:32:06.343340,28160,6e00,2.612431e-01
2023-10-11 14:32:11.114675,56320,dc00,5.224476e-01
2023-10-11 14:32:15.940707,5632,1600,5.225147e-02
2023-10-11 14:32:20.803235,58112,e300,5.390506e-01
2023-10-11 14:32:25.589713,24064,5e00,2.232404e-01
2023-10-11 14:32:30.359775,55552,d900,5.153230e-01
2023-10-11 14:32:35.118236,60672,ed00,5.628120e-01
2023-10-11 14:32:39.871367,0,0,1.195982e-05
2023-10-11 14:32:44.684071,7936,1f00,7.362120e-02
2023-10-11 14:32:49.459352,1280,500,1.188047e-02
2023-10-11 14:32:54.227243,6144,1800,5.699727e-02
2023-10-11 14:32:58.991362,17664,4500,1.638666e-01
2023-10-11 14:33:03.767201,44032,ac00,4.084639e-01
2023-10-11 14:33:08.551166,8960,2300,8.311940e-02
2023-10-11 14:33:13.355279,25856,6500,2.398651e-01
2023-10-11 14:33:18.114502,46336,b500,4.298313e-01
2023-10-11 14:33:22.901614,60160,eb00,5.580432e-01
2023-10-11 14:33:27.675470,62464,f400,5.793898e-01
2023-10-11 14:33:32.474914,46592,b600,4.322204e-01
2023-10-11 14:33:37.263201,34048,8500,3.158585e-01
2023-10-11 14:33:42.035836,15104,3b00,1.401163e-01
2023-10-11 14:33:46.803184,15616,3d00,1.448718e-01
2023-10-11 14:33:51.563151,21760,5500,2.018618e-01
2023-10-11 14:33:56.330914,33792,8400,3.134815e-01
2023-10-11 14:34:01.144483,54784,d600,5.081863e-01
2023-10-11 14:34:05.932143,16128,3f00,1.496226e-01
2023-10-11 14:34:10.693096,16384,4000,1.519991e-01
2023-10-11 14:34:15.494714,47872,bb00,4.440849e-01
2023-10-11 14:34:20.255352,29440,7300,2.731160e-01
2023-10-11 14:34:25.047239,7424,1d00,6.887458e-02
2023-10-11 14:34:29.807274,42496,a600,3.942435e-01
2023-10-11 14:34:34.619441,14336,3800,1.329983e-01
2023-10-11 14:34:39.391201,59136,e700,5.485654e-01
2023-10-11 14:34:44.147874,15872,3e00,1.472509e-01
2023-10-11 14:34:48.943240,4864,1300,4.512721e-02
2023-10-11 14:34:53.711246,42240,a500,3.918703e-01
2023-10-11 14:34:58.476943,4352,1100,4.037895e-02
2023-10-11 14:35:03.243205,22272,5700,2.066209e-01
2023-10-11 14:35:08.014125,32000,7d00,2.968684e-01
2023-10-11 14:35:12.772512,46848,b700,4.345961e-01
2023-10-11 14:35:17.534730,21248,5300,1.971054e-01
2023-10-11 14:35:22.351196,14592,3900,1.353658e-01
2023-10-11 14:35:27.139289,40704,9f00,3.776103e-01
2023-10-11 14:35:31.951288,54528,d500,5.058162e-01
2023-10-11 14:35:36.704162,11008,2b00,1.021183e-01
2023-10-11 14:35:41.491253,22784,5900,2.113618e-01
2023-10-11 14:35:46.248797,31232,7a00,2.897402e-01
2023-10-11 14:35:51.011374,26624,6800,2.469839e-01
2023-10-11 14:35:55.782524,60416,ec00,5.604219e-01
2023-10-11 14:36:00.568382,63744,f900,5.912869e-01
2023-10-11 14:36:05.351282,12288,3000,1.139931e-01
2023-10-11 14:36:10.103253,1024,400,9.505268e-03
2023-10-11 14:36:14.887797,59648,e900,5.533121e-01
2023-10-11 14:36:19.673940,29952,7500,2.778632e-01
2023-10-11 14:36:24.548607,25600,6400,2.374840e-01
2023-10-11 14:36:29.395263,42752,a700,3.966054e-01
2023-10-11 14:36:34.171281,48128,bc00,4.464760e-01
2023-10-11 14:36:38.939280,25088,6200,2.327405e-01
2023-10-11 14:36:43.702167,11776,2e00,1.092494e-01
2023-10-11 14:36:48.504442,33280,8200,3.087459e-01
2023-10-11 14:36:53.270502,9472,2500,8.787310e-02
2023-10-11 14:36:58.035181,62720,f500,5.817992e-01
